"Date","Price","Open","High","Low","Change %"
"Aug 01, 2022","2.2170","2.2170","2.2340","2.1680","1.53%"
"Jul 31, 2022","2.1836","2.1836","2.1836","2.1836","-0.25%"
"Jul 29, 2022","2.1890","2.1510","2.2190","2.1510","2.53%"
"Jul 28, 2022","2.1350","2.1530","2.1880","2.1040","0.47%"
"Jul 27, 2022","2.1250","2.1810","2.1910","2.1170","-2.43%"
"Jul 26, 2022","2.1780","2.1730","2.1910","2.1380","2.11%"
"Jul 25, 2022","2.1330","2.1840","2.1910","2.1220","-0.58%"
"Jul 24, 2022","2.1455","2.1455","2.1455","2.1455","-0.12%"
"Jul 22, 2022","2.1480","2.1790","2.2010","2.1180","17.38%"
"Jul 21, 2022","1.8300","1.8930","1.8960","1.8070","-2.03%"
"Jul 20, 2022","1.8680","1.9140","1.9140","1.8630","-1.99%"
"Jul 19, 2022","1.9060","1.9220","1.9520","1.8500","-1.85%"
"Jul 18, 2022","1.9420","1.9420","1.9850","1.8830","-1.42%"
"Jul 17, 2022","1.9700","1.9700","1.9700","1.9700","0.25%"
"Jul 15, 2022","1.9650","1.9340","2.1050","1.9140","17.52%"
"Jul 14, 2022","1.6720","1.6620","1.8200","1.6290","-3.96%"
"Jul 13, 2022","1.7410","1.5890","1.7690","1.5680","9.22%"
"Jul 12, 2022","1.5940","1.5730","1.6220","1.5680","2.31%"
"Jul 11, 2022","1.5580","1.6090","1.6090","1.5480","0.15%"
"Jul 10, 2022","1.5557","1.5659","1.5659","1.5557","-0.97%"
"Jul 08, 2022","1.5710","1.5560","1.5920","1.5430","20.75%"
"Jul 07, 2022","1.3010","1.3040","1.3520","1.2760","-0.46%"
"Jul 06, 2022","1.3070","1.2680","1.3220","1.2560","0.38%"
"Jul 05, 2022","1.3020","1.2790","1.5120","1.2710","-2.08%"
"Jul 04, 2022","1.3296","1.2889","1.3296","1.2661","2.99%"
"Jul 01, 2022","1.2910","1.3350","1.3350","1.2790","19.76%"
"Jun 30, 2022","1.0780","1.1310","1.1800","1.0450","-0.92%"
"Jun 29, 2022","1.0880","1.1160","1.1370","1.0450","0.00%"
"Jun 28, 2022","1.0880","1.1520","1.1750","1.0880","-5.14%"
"Jun 27, 2022","1.1470","1.1820","1.2130","1.1264","-6.60%"
"Jun 26, 2022","1.2280","1.2128","1.2280","1.2128","4.07%"
"Jun 24, 2022","1.1800","1.1700","1.2300","1.1340","10.80%"
"Jun 23, 2022","1.0650","0.9610","1.0880","0.9430","11.99%"
"Jun 22, 2022","0.9510","1.0500","1.1160","0.9380","-12.03%"
