"Date","Price","Open","High","Low","Change %"
"Apr 10, 2022","2.7777","2.7726","2.7777","2.7726","0.81%"
"Apr 08, 2022","2.7555","2.7010","2.7910","2.6790","1.45%"
"Apr 07, 2022","2.7160","2.6770","2.7160","2.6230","1.01%"
"Apr 06, 2022","2.6888","2.7170","2.7940","2.6570","-0.56%"
"Apr 05, 2022","2.7040","2.5370","2.7140","2.5270","6.24%"
"Apr 04, 2022","2.5453","2.5940","2.6010","2.5230","-1.81%"
"Apr 03, 2022","2.5923","2.5890","2.5923","2.5873","1.05%"
"Apr 01, 2022","2.5654","2.4730","2.5940","2.4720","4.08%"
"Mar 31, 2022","2.4649","2.4320","2.4700","2.3850","0.95%"
"Mar 30, 2022","2.4416","2.5000","2.5250","2.4250","-2.40%"
"Mar 29, 2022","2.5017","2.5330","2.6530","2.4770","-2.40%"
"Mar 28, 2022","2.5633","2.5510","2.6730","2.5100","0.49%"
"Mar 27, 2022","2.5508","2.5577","2.5577","2.5508","-0.41%"
"Mar 25, 2022","2.5612","2.4020","2.5820","2.3770","6.78%"
"Mar 24, 2022","2.3985","2.3320","2.4210","2.3230","3.63%"
"Mar 23, 2022","2.3145","2.4030","2.4320","2.3130","-3.55%"
"Mar 22, 2022","2.3996","2.3190","2.4070","2.3190","3.24%"
"Mar 21, 2022","2.3243","2.1430","2.3400","2.1430","8.30%"
"Mar 20, 2022","2.1461","2.1461","2.1461","2.1461","0.00%"
"Mar 18, 2022","2.1461","2.1360","2.1730","2.1070","0.17%"
"Mar 17, 2022","2.1424","2.1780","2.1830","2.1090","-2.07%"
"Mar 16, 2022","2.1877","2.1090","2.2400","2.0900","3.84%"
"Mar 15, 2022","2.1068","2.0930","2.1350","2.0230","0.49%"
"Mar 14, 2022","2.0966","1.9960","2.1030","1.9910","4.77%"
"Mar 13, 2022","2.0012","1.9979","2.0012","1.9979","2.65%"
"Mar 11, 2022","1.9496","1.9230","1.9700","1.8880","1.30%"
"Mar 10, 2022","1.9246","1.8780","1.9530","1.8400","2.38%"
"Mar 09, 2022","1.8799","1.7960","1.8850","1.7630","5.84%"
"Mar 08, 2022","1.7761","1.7020","1.8190","1.6930","4.33%"
"Mar 07, 2022","1.7024","1.5690","1.7170","1.5580","8.62%"
"Mar 06, 2022","1.5673","1.5916","1.5916","1.5673","-4.84%"
"Mar 04, 2022","1.6470","1.7530","1.7530","1.5840","-4.83%"
"Mar 03, 2022","1.7306","1.7240","1.7850","1.7080","-1.49%"
"Mar 02, 2022","1.7568","1.6000","1.7830","1.5360","11.92%"
"Mar 01, 2022","1.5697","1.7370","1.7630","1.5230","-8.36%"
"Feb 28, 2022","1.7129","1.7900","1.8140","1.7050","-4.21%"
"Feb 27, 2022","1.7881","1.7913","1.7962","1.7881","-4.38%"
"Feb 25, 2022","1.8701","1.8620","1.9210","1.8360","0.27%"
"Feb 24, 2022","1.8651","1.8700","1.8800","1.7500","-2.35%"
"Feb 23, 2022","1.9100","1.8680","1.9150","1.8680","2.26%"
"Feb 22, 2022","1.8677","1.7690","1.8730","1.7550","5.70%"
"Feb 21, 2022","1.7670","1.7653","1.7670","1.7653","-2.85%"
"Feb 18, 2022","1.8188","1.8270","1.8790","1.8050","-1.51%"
"Feb 17, 2022","1.8466","1.9000","1.9100","1.8400","-3.92%"
"Feb 16, 2022","1.9219","1.9320","1.9520","1.8870","-0.77%"
"Feb 15, 2022","1.9368","1.9110","1.9590","1.8900","1.51%"
"Feb 14, 2022","1.9080","1.8640","1.9500","1.8180","4.12%"
"Feb 11, 2022","1.8325","1.9460","1.9720","1.8170","-6.78%"
"Feb 10, 2022","1.9658","1.8190","1.9840","1.7900","7.90%"
"Feb 09, 2022","1.8218","1.8080","1.8270","1.7720","0.28%"
"Feb 08, 2022","1.8167","1.7680","1.8220","1.7680","2.83%"
"Feb 07, 2022","1.7667","1.7750","1.7880","1.7550","-0.55%"
"Feb 06, 2022","1.7765","1.7848","1.7848","1.7765","0.19%"
"Feb 04, 2022","1.7732","1.6750","1.7900","1.6580","5.94%"
"Feb 03, 2022","1.6737","1.5900","1.6800","1.5870","4.41%"
"Feb 02, 2022","1.6030","1.6260","1.6340","1.5800","-1.21%"
"Feb 01, 2022","1.6226","1.6190","1.6520","1.5700","0.51%"
"Jan 31, 2022","1.6144","1.6360","1.6540","1.6060","-1.39%"
"Jan 30, 2022","1.6372","1.6339","1.6372","1.6339","1.01%"
"Jan 28, 2022","1.6208","1.6700","1.7010","1.5720","-2.46%"
"Jan 27, 2022","1.6616","1.6790","1.7010","1.6320","-1.65%"
"Jan 26, 2022","1.6894","1.5730","1.6980","1.5590","8.01%"
