"Date"        ,"Price" ,"Open"  ,"High"  ,"Low"   ,"Change %"
"Apr 19, 2022","1.8280","1.7830","1.8510","1.7810","3.39%"
"Apr 18, 2022","1.7680","1.7260","1.8020","1.6900","3.49%"
"Apr 17, 2022","1.7083","1.7550","1.7550","1.7083","-1.65%"
"Apr 14, 2022","1.7370","1.7140","1.7600","1.6930","3.21%"
"Apr 13, 2022","1.6830","1.7010","1.7580","1.6720","-1.92%"
"Apr 12, 2022","1.7160","1.8130","1.8330","1.7010","-3.81%"
"Apr 11, 2022","1.7840","1.8000","1.8200","1.7760","-0.58%"
"Apr 10, 2022","1.7944","1.7606","1.7944","1.7606","1.49%"
"Apr 08, 2022","1.7680","1.7630","1.7870","1.7580","1.90%"
"Apr 07, 2022","1.7350","1.8230","1.8230","1.7240","-1.59%"
"Apr 06, 2022","1.7630","1.7480","1.8130","1.7320","1.03%"
"Apr 05, 2022","1.7450","1.6960","1.7580","1.6960","2.71%"
"Apr 04, 2022","1.6990","1.7320","1.7660","1.6490","-2.23%"
"Apr 03, 2022","1.7377","1.7481","1.7481","1.7377","3.07%"
"Apr 01, 2022","1.6860","1.6370","1.7380","1.6180","4.85%"
"Mar 31, 2022","1.6080","1.6440","1.6680","1.6000","-2.07%"
"Mar 30, 2022","1.6420","1.6830","1.6940","1.6160","-0.91%"
"Mar 29, 2022","1.6570","1.7170","1.7280","1.6370","-1.13%"
"Mar 28, 2022","1.6760","1.6470","1.7120","1.6470","1.59%"
"Mar 27, 2022","1.6497","1.6497","1.6497","1.6497","-0.62%"
"Mar 25, 2022","1.6600","1.5490","1.6840","1.5490","7.58%"
"Mar 24, 2022","1.5430","1.5430","1.5590","1.5250","1.85%"
"Mar 23, 2022","1.5150","1.6110","1.6140","1.5070","12.56%"
"Mar 22, 2022","1.3460","1.3020","1.3900","1.2810","5.07%"
"Mar 21, 2022","1.2810","1.3040","1.3120","1.1700","4.61%"
"Mar 20, 2022","1.2245","1.2245","1.2245","1.2245","-0.04%"
"Mar 18, 2022","1.2250","1.2170","1.3040","1.1940","0.25%"
"Mar 17, 2022","1.2220","1.3150","1.3230","1.2090","-5.93%"
"Mar 16, 2022","1.2990","1.2380","1.3230","1.2120","7.18%"
"Mar 15, 2022","1.2120","1.2270","1.2560","1.1860","-1.22%"
"Mar 14, 2022","1.2270","1.1630","1.2400","1.1600","5.75%"
"Mar 13, 2022","1.1603","1.1603","1.1603","1.1603","-0.66%"
"Mar 11, 2022","1.1680","1.1370","1.1840","1.1350","1.13%"
"Mar 10, 2022","1.1550","1.1550","1.2040","1.1140","2.94%"
"Mar 09, 2022","1.1220","1.1010","1.1420","1.0810","3.31%"
"Mar 08, 2022","1.0860","1.1010","1.1060","1.0440","3.92%"
"Mar 07, 2022","1.0450","1.0600","1.0810","1.0290","-0.45%"
"Mar 06, 2022","1.0497","1.0317","1.0497","1.0317","2.01%"
"Mar 04, 2022","1.0290","1.0580","1.1170","0.9780","-3.83%"
"Mar 03, 2022","1.0700","1.0990","1.1010","1.0270","2.20%"
"Mar 02, 2022","1.0470","0.9440","1.0700","0.9260","17.64%"
"Mar 01, 2022","0.8900","1.0470","1.0520","0.8650","-11.97%"
"Feb 28, 2022","1.0110","1.1270","1.1320","1.0010","-11.52%"
"Feb 27, 2022","1.1426","1.1168","1.1426","1.1168","1.38%"
"Feb 25, 2022","1.1270","1.1200","1.1430","1.1040","4.74%"
"Feb 24, 2022","1.0760","1.1840","1.2070","1.0290","-6.43%"
"Feb 23, 2022","1.1500","1.1760","1.2070","1.1170","5.41%"
"Feb 22, 2022","1.0910","1.0180","1.1090","1.0110","6.31%"
"Feb 21, 2022","1.0262","1.0262","1.0262","1.0262","3.34%"
"Feb 18, 2022","0.9930","1.0110","1.0620","0.9800","-2.74%"
"Feb 17, 2022","1.0210","1.0880","1.1110","1.0080","-2.67%"
"Feb 16, 2022","1.0490","1.0980","1.1220","1.0240","-2.24%"
"Feb 15, 2022","1.0730","1.1680","1.1680","1.0620","-2.81%"
"Feb 14, 2022","1.1040","1.0340","1.1350","1.0340","4.45%"
"Feb 11, 2022","1.0570","1.1860","1.1860","1.0320","-2.67%"
"Feb 10, 2022","1.0860","0.9260","1.1550","0.8800","22.99%"
"Feb 09, 2022","0.8830","0.9080","0.9110","0.8670","0.00%"
"Feb 08, 2022","0.8830","0.8880","0.8980","0.8700","2.08%"
"Feb 07, 2022","0.8650","0.9030","0.9060","0.8570","-3.67%"
"Feb 06, 2022","0.8980","0.8980","0.8980","0.8980","1.70%"
"Feb 04, 2022","0.8830","0.7900","0.8960","0.7720","15.12%"
"Feb 03, 2022","0.7670","0.7440","0.7720","0.7260","3.09%"
"Feb 02, 2022","0.7440","0.8010","0.8010","0.7390","-3.38%"
"Feb 01, 2022","0.7700","0.7950","0.8060","0.7650","0.39%"
"Jan 31, 2022","0.7670","0.7670","0.8110","0.7670","0.30%"
"Jan 30, 2022","0.7647","0.7493","0.7647","0.7493","1.42%"
"Jan 28, 2022","0.7540","0.7850","0.8010","0.7390","0.67%"
"Jan 27, 2022","0.7490","0.7470","0.7700","0.7290","10.96%"
"Jan 26, 2022","0.6750","0.6520","0.7210","0.6420","11.39%"
